Target Distance: 1000, Step Size: 10
0 (x, y) = (0, 0)
1 (x, y) = (1.54251, -9.88032)
2 (x, y) = (5.7843, -18.9361)
3 (x, y) = (-3.81731, -21.7305)
4 (x, y) = (5.02132, -17.0531)
5 (x, y) = (6.73849, -26.9046)
6 (x, y) = (-0.253799, -34.0535)
7 (x, y) = (-2.66339, -43.7589)
8 (x, y) = (-4.81474, -33.993)
9 (x, y) = (-6.00684, -24.0643)
10 (x, y) = (3.89313, -25.4753)
11 (x, y) = (7.56632, -34.7762)
12 (x, y) = (14.4312, -42.0476)
13 (x, y) = (4.75868, -39.5094)
14 (x, y) = (-1.71074, -31.884)
15 (x, y) = (3.91355, -23.6155)
16 (x, y) = (2.98579, -33.5724)
17 (x, y) = (-6.77051, -31.3782)
18 (x, y) = (2.22816, -27.0165)
19 (x, y) = (-3.02531, -18.5076)
20 (x, y) = (3.44388, -10.8821)
21 (x, y) = (11.4816, -4.93273)
22 (x, y) = (2.26424, -8.81082)
23 (x, y) = (2.92731, 1.16717)
24 (x, y) = (-5.91147, 5.84436)
25 (x, y) = (-9.25284, -3.58089)
26 (x, y) = (-15.5863, 4.15783)
27 (x, y) = (-21.3563, 12.3253)
28 (x, y) = (-27.5517, 20.1749)
29 (x, y) = (-17.6518, 18.764)
30 (x, y) = (-8.36705, 15.0499)
31 (x, y) = (-16.405, 20.999)
32 (x, y) = (-26.2487, 19.2383)
33 (x, y) = (-28.5726, 28.9645)
34 (x, y) = (-24.4114, 38.0576)
35 (x, y) = (-33.2502, 42.7348)
36 (x, y) = (-41.7823, 37.519)
37 (x, y) = (-33.9051, 31.3586)
38 (x, y) = (-26.4243, 24.7225)
39 (x, y) = (-36.2834, 26.3957)
40 (x, y) = (-46.2642, 25.7765)
41 (x, y) = (-36.5917, 28.3151)
42 (x, y) = (-27.409, 32.2746)
43 (x, y) = (-19.5319, 26.1142)
44 (x, y) = (-25.9333, 18.4316)
45 (x, y) = (-17.7915, 24.2378)
46 (x, y) = (-23.1948, 32.6523)
47 (x, y) = (-22.1789, 42.6006)
48 (x, y) = (-30.1103, 48.691)
49 (x, y) = (-32.0884, 58.4934)
50 (x, y) = (-33.0162, 48.5365)
51 (x, y) = (-26.821, 56.3863)
52 (x, y) = (-24.0691, 46.7725)
53 (x, y) = (-34.0374, 45.9767)
54 (x, y) = (-24.2811, 48.1712)
55 (x, y) = (-26.605, 57.8974)
56 (x, y) = (-28.1472, 48.0171)
57 (x, y) = (-29.1634, 57.9653)
58 (x, y) = (-39.1536, 57.5229)
59 (x, y) = (-30.7627, 52.0829)
60 (x, y) = (-39.1534, 46.6427)
61 (x, y) = (-49.0873, 45.4946)
62 (x, y) = (-56.7412, 39.059)
63 (x, y) = (-66.4137, 41.5972)
64 (x, y) = (-60.7895, 49.8657)
65 (x, y) = (-52.3039, 55.1567)
66 (x, y) = (-54.0208, 45.3052)
67 (x, y) = (-59.0462, 36.6597)
68 (x, y) = (-49.6972, 33.1106)
69 (x, y) = (-45.1375, 24.2106)
70 (x, y) = (-47.4614, 33.9369)
71 (x, y) = (-37.6679, 35.9584)
72 (x, y) = (-46.6276, 31.5173)
73 (x, y) = (-49.1233, 41.2008)
74 (x, y) = (-55.7262, 33.6908)
75 (x, y) = (-63.711, 27.6705)
76 (x, y) = (-65.2532, 17.7901)
77 (x, y) = (-68.1746, 27.3539)
78 (x, y) = (-71.8475, 18.0528)
79 (x, y) = (-77.8321, 10.0413)
80 (x, y) = (-70.2931, 16.6112)
81 (x, y) = (-62.0498, 22.2723)
82 (x, y) = (-68.3142, 14.4776)
83 (x, y) = (-77.5657, 18.2737)
84 (x, y) = (-82.7434, 9.71848)
85 (x, y) = (-88.4407, 1.50013)
86 (x, y) = (-86.1171, 11.2264)
87 (x, y) = (-92.4505, 18.9651)
88 (x, y) = (-85.2093, 12.0684)
89 (x, y) = (-75.2097, 11.9802)
90 (x, y) = (-72.3731, 2.39093)
91 (x, y) = (-76.3729, -6.77428)
92 (x, y) = (-85.1275, -1.94137)
93 (x, y) = (-82.8898, -11.6878)
94 (x, y) = (-89.4928, -19.1979)
95 (x, y) = (-79.4932, -19.2861)
96 (x, y) = (-70.0533, -15.9862)
97 (x, y) = (-80.0216, -16.7819)
98 (x, y) = (-70.8041, -20.6598)
99 (x, y) = (-77.6687, -27.9314)
100 (x, y) = (-87.425, -25.7371)
101 (x, y) = (-78.8018, -30.8008)
102 (x, y) = (-87.9131, -26.6796)
103 (x, y) = (-88.0459, -16.6805)
104 (x, y) = (-80.8047, -23.5773)
105 (x, y) = (-79.4374, -13.6712)
106 (x, y) = (-71.8983, -7.10132)
107 (x, y) = (-81.1157, -10.9794)
108 (x, y) = (-72.2771, -6.30196)
109 (x, y) = (-78.1189, -14.4182)
110 (x, y) = (-76.9271, -4.48944)
111 (x, y) = (-75.4724, 5.40418)
112 (x, y) = (-78.9801, -3.96044)
113 (x, y) = (-79.378, -13.9525)
114 (x, y) = (-69.4254, -14.9243)
115 (x, y) = (-64.3236, -6.32364)
116 (x, y) = (-74.3232, -6.41216)
117 (x, y) = (-75.7782, 3.48143)
118 (x, y) = (-77.3204, -6.39894)
119 (x, y) = (-87.2731, -7.37106)
120 (x, y) = (-79.2353, -1.42173)
121 (x, y) = (-76.7399, 8.26192)
122 (x, y) = (-67.0675, 10.8004)
123 (x, y) = (-59.5867, 4.16433)
124 (x, y) = (-66.8277, -2.73265)
125 (x, y) = (-61.4991, -11.1947)
126 (x, y) = (-70.848, -14.7441)
127 (x, y) = (-61.0544, -12.7226)
128 (x, y) = (-60.3028, -22.6943)
129 (x, y) = (-58.1517, -12.9284)
130 (x, y) = (-60.1299, -3.12598)
131 (x, y) = (-70.1263, -3.3915)
132 (x, y) = (-74.1262, -12.5567)
133 (x, y) = (-83.9996, -14.1429)
134 (x, y) = (-82.8078, -4.21421)
135 (x, y) = (-75.9429, -11.4856)
136 (x, y) = (-75.7216, -21.4832)
137 (x, y) = (-66.027, -23.9357)
138 (x, y) = (-75.9504, -22.7)
139 (x, y) = (-84.8706, -18.18)
140 (x, y) = (-76.7803, -24.0577)
141 (x, y) = (-83.2497, -16.4323)
142 (x, y) = (-73.2971, -17.4041)
143 (x, y) = (-66.3683, -10.1935)
144 (x, y) = (-71.4704, -1.593)
145 (x, y) = (-68.5493, 7.97085)
146 (x, y) = (-76.7421, 2.23703)
147 (x, y) = (-77.7583, 12.1853)
148 (x, y) = (-69.2728, 17.4764)
149 (x, y) = (-75.6742, 9.79381)
150 (x, y) = (-76.6904, 19.742)
151 (x, y) = (-81.4847, 28.5178)
152 (x, y) = (-73.4998, 22.4978)
153 (x, y) = (-71.8702, 32.3641)
154 (x, y) = (-62.8331, 28.0826)
155 (x, y) = (-66.2581, 37.4778)
156 (x, y) = (-66.0368, 27.4802)
157 (x, y) = (-72.4382, 19.7977)
